date,dppi,band_number,bird_ID,l_min,l_max,r_min,r_max
20221201,24,2874,24_2874,36.4,37.3,35.2,36.2
20221205,28,2874,28_2874,35.1,36,35.3,36.6
20221212,35,2874,35_2874,35,35.4,34.8,35.5
20221107,0,2869,0_2869,38.7,39.8,36.7,37.5
20221110,3,2869,3_2869,34.8,35.7,35.2,36.4
20221114,7,2869,7_2869,35.6,37.1,35.6,36.5
20221121,14,2869,14_2869,35.5,37.1,35.6,36.1
20221125,18,2869,18_2869,37.3,38.5,37.2,37.8
20221201,24,2869,24_2869,35.6,36.1,34.7,35.5
20221205,28,2869,28_2869,37.2,37.8,36.7,37.4
20221212,35,2869,35_2869,36,36.8,36.3,37.1
20221107,0,2850,0_2850,36.5,37.3,36,37
20221110,3,2850,3_2850,35.5,38.2,35.7,36.9
20221114,7,2850,7_2850,35.5,37,37.5,40.9
20221121,14,2850,14_2850,35,36.7,41.1,42.5
20221125,18,2850,18_2850,36.1,37.1,42.7,43.1
20221201,24,2850,24_2850,35.4,36,35.7,36.8
20221205,28,2850,28_2850,34.8,35.7,36.6,37.3
20221212,35,2850,35_2850,33.6,34.2,35,35.5
20221107,0,2847,0_2847,35.7,37.5,35,36.5
20221110,3,2847,3_2847,33.5,35.4,34.5,35.7
20221114,7,2847,7_2847,33.5,35.6,32.6,34.7
20221121,14,2847,14_2847,33.9,35.9,35.6,36.8
20221125,18,2847,18_2847,35.1,36.5,35.3,36.2
20221201,24,2847,24_2847,34.9,35.9,34.5,35.4
20221205,28,2847,28_2847,35.6,36.3,35.8,36.5
20221212,35,2847,35_2847,34.6,35.1,33.8,34.3
20221107,0,2846,0_2846,36.1,37.2,35.4,36.7
20221110,3,2846,3_2846,34.9,35.7,34.7,35.8
20221114,7,2846,7_2846,34.2,35.2,33.9,35.8
20221121,14,2846,14_2846,33.8,35,33.2,34.7
20221125,18,2846,18_2846,36.6,37.3,36.4,37.5
20221201,24,2846,24_2846,33.7,34.4,33.7,34.4
20221205,28,2846,28_2846,35.2,36,35.7,36.2
20221212,35,2846,35_2846,35.4,35.9,35.3,36
20221107,0,2842,0_2842,37.2,38.6,36.9,37.6
20221110,3,2842,3_2842,37.5,39.3,37.1,38.2
20221114,7,2842,7_2842,36.4,37.7,35.5,36.8
20221121,14,2842,14_2842,34.8,35.8,35.6,36.7
20221125,18,2842,18_2842,36.5,37.5,36.6,37.5
20221201,24,2842,24_2842,35.5,36.6,35.2,36.7
20221205,28,2842,28_2842,37.3,37.6,36.2,37
20221212,35,2842,35_2842,35.2,36,35,36.5
20221107,0,2813,0_2813,31.6,33,32.7,34.8
20221110,3,2813,3_2813,31.5,32.8,31.6,33
20221114,7,2813,7_2813,31.7,33.1,32,33.7
20221121,14,2813,14_2813,32.6,34,32.9,33.6
20221125,18,2813,18_2813,31.6,32.6,32.5,33.6
20221201,24,2813,24_2813,31.5,32.5,31,31.8
20221205,28,2813,28_2813,30.8,32,31.6,32.5
20221212,35,2813,35_2813,31.6,32.6,30.8,31.8
20221107,0,2802,0_2802,36,37.7,36,37.4
20221110,3,2802,3_2802,34.5,36.2,35,36.7
20221114,7,2802,7_2802,34.7,37.3,34.3,36.1
20221121,14,2802,14_2802,35,35.7,35.2,36.5
20221125,18,2802,18_2802,34.9,35.8,36.4,37.2
20221201,24,2802,24_2802,35.1,35.6,34.5,35
20221205,28,2802,28_2802,35.6,36.4,34.9,36
20221212,35,2802,35_2802,34.7,35.7,34.7,35.8
20221107,0,2799,0_2799,28,31.2,31.7,33.7
20221110,3,2799,3_2799,31.4,33.1,30.8,32.1
20221114,7,2799,7_2799,30.7,32.1,32.6,34
20221121,14,2799,14_2799,32.4,33.6,30.4,31.4
20221125,18,2799,18_2799,31.3,33.2,32.5,34.3
20221201,24,2799,24_2799,32,32.8,31.2,32.5
20221205,28,2799,28_2799,31.6,32.2,31.2,31.9
20221212,35,2799,35_2799,33,34.8,32.6,33.4
20221201,24,2789,24_2789,32.2,33.3,30.8,32.6
20221107,0,2789,0_2789,31.7,33.5,31.2,33
20221110,3,2789,3_2789,31.3,32.2,30.8,33.3
20221114,7,2789,7_2789,31.8,33.6,31.4,33.3
20221121,14,2789,14_2789,30.5,32.3,31,32
20221125,18,2789,18_2789,31.8,33,30.3,32.4
20221205,28,2789,28_2789,31.1,31.9,32.2,32.6
20221212,35,2789,35_2789,30.9,32.2,32,32.8
20221107,0,2775,0_2775,31.3,33.2,31.9,33.9
20221110,3,2775,3_2775,31.1,33.6,31.6,32.7
20221114,7,2775,7_2775,32.3,34.2,31.2,32.4
20221121,14,2775,14_2775,31.2,31.4,31.3,32.3
20221125,18,2775,18_2775,30.9,31.5,31.6,32.9
20221201,24,2775,24_2775,30.5,31.5,31.5,32
20221205,28,2775,28_2775,31.8,32.7,30.7,31.5
20221212,35,2775,35_2775,30.9,32.1,31,32.3
20221107,0,2764,0_2764,32,32.8,31.2,32.6
20221110,3,2764,3_2764,31.2,32.5,31.5,33.5
20221114,7,2764,7_2764,31.6,33.1,32.2,34.2
20221121,14,2764,14_2764,32.7,33,30.4,32.3
20221125,18,2764,18_2764,32.8,34,32.2,33.74
20221201,24,2764,24_2764,30.4,31.6,31.1,32.1
20221205,28,2764,28_2764,30.6,31.2,29.9,30.8
20221212,35,2764,35_2764,32.8,34.6,33.1,33.9
20221107,0,2750,0_2750,32,33.4,32.1,33.5
20221110,3,2750,3_2750,32,33.7,30.5,31.3
20221114,7,2750,7_2750,31.3,32.8,30.9,32.1
20221121,14,2750,14_2750,32.1,33.3,32,32.7
20221125,18,2750,18_2750,32.4,33.1,32.2,33.1
20221201,24,2750,24_2750,31.3,32.7,31.5,32.7
20221205,28,2750,28_2750,30.9,31.5,31.8,32.4
20221212,35,2750,35_2750,30.9,31.9,30.8,32.4
20221107,0,2741,0_2741,31.8,33.4,32.1,32.8
20221110,3,2741,3_2741,31.3,32.7,30.5,31.6
20221114,7,2741,7_2741,32,33.1,30.8,31.7
20221121,14,2741,14_2741,33.4,33.9,33.3,34.5
20221125,18,2741,18_2741,33.5,34.2,34,34.8
20221201,24,2741,24_2741,32.4,33.3,33.3,34.4
20221205,28,2741,28_2741,34.6,34.8,32.2,32.7
20221212,35,2741,35_2741,33.7,34.6,32.9,34.6
20221107,0,2718,0_2718,36.8,38.6,38.8,40.2
20221110,3,2718,3_2718,35.8,36.7,34.2,35.7
20221114,7,2718,7_2718,33.8,36,33.5,35
20221121,14,2718,14_2718,34.3,34.7,34.1,35.4
20221125,18,2718,18_2718,36.7,37.7,36.2,37.4
20221201,24,2718,24_2718,34.3,34.8,35.1,35.9
20221205,28,2718,28_2718,36.4,36.9,36,36.5
20221212,35,2718,35_2718,34.9,35.4,34.9,36
20221107,0,2704,0_2704,35.5,37.1,35.4,37.2
20221110,3,2704,3_2704,36.1,37.4,36,37.4
20221114,7,2704,7_2704,35.1,36.4,34.7,36.3
20221121,14,2704,14_2704,35.7,36.8,35.3,36
20221125,18,2704,18_2704,37.1,37.9,37.3,37.8
20221201,24,2704,24_2704,36.1,36.9,35.9,36.3
20221205,28,2704,28_2704,36.3,36.8,36.3,37.3
20221212,35,2704,35_2704,36.7,37.2,36.2,36.7
20221107,0,2690,0_2690,36.3,37.7,36.5,37.9
20221110,3,2690,3_2690,35.8,36.1,35.1,36.1
20221114,7,2690,7_2690,34.9,37,37.6,39.8
20221121,14,2690,14_2690,34.8,36.1,43.1,43.8
20221125,18,2690,18_2690,36.5,37.2,42.3,42.9
20221201,24,2690,24_2690,35.2,36,36.4,36.7
20221205,28,2690,28_2690,36.5,37.1,37.4,38.8
20221212,35,2690,35_2690,34,35.3,35.5,36.1
20221107,0,2689,0_2689,32.4,33.7,32.3,33.9
20221110,3,2689,3_2689,32.3,33.1,30.9,32.4
20221114,7,2689,7_2689,32.5,33.3,31.1,32.8
20221121,14,2689,14_2689,37.7,39.4,33.1,34.9
20221125,18,2689,18_2689,33,33.7,32,32.4
20221201,24,2689,24_2689,32.1,32.7,30.9,31.9
20221205,28,2689,28_2689,32.2,33,31.6,31.9
20221212,35,2689,35_2689,32.8,33.9,31.9,33.1
20221107,0,2687,0_2687,31.9,32.9,29.8,32.7
20221110,3,2687,3_2687,31.1,33.2,30.6,32
20221114,7,2687,7_2687,31.6,33.1,31,32.2
20221121,14,2687,14_2687,31.2,32.9,31.1,32.5
20221125,18,2687,18_2687,30.6,31.6,29.7,30.8
20221201,24,2687,24_2687,30.9,32.8,31.3,32.8
20221205,28,2687,28_2687,31.3,32.2,31.2,32.8
20221212,35,2687,35_2687,30.3,31.6,31.6,33
20221107,0,2684,0_2684,32.3,34.7,33.4,34.8
20221110,3,2684,3_2684,31.9,32.9,33,34.6
20221114,7,2684,7_2684,32.6,33.8,32.3,34.1
20221121,14,2684,14_2684,32.5,33.3,33,34.1
20221125,18,2684,18_2684,33.4,34,33.1,34.8
20221201,24,2684,24_2684,31.6,32.7,31.8,32.8
20221107,0,2667,0_2667,33.1,34.1,32.7,33.9
20221110,3,2667,3_2667,32.6,33.1,32.1,33.2
20221114,7,2667,7_2667,32.4,33.7,31.9,33.2
20221121,14,2667,14_2667,31.6,32.7,32.3,33.8
20221125,18,2667,18_2667,31.9,32.7,31,32
20221201,24,2667,24_2667,32.6,33,32,33.5
20221205,28,2667,28_2667,31.2,31.8,31.3,32.2
20221212,35,2667,35_2667,32.4,32.8,31.3,32
20221107,0,2655,0_2655,35,35.7,32.6,34
20221110,3,2655,3_2655,30.7,31.9,30.9,33.3
20221114,7,2655,7_2655,31.5,33.2,31.4,32.7
20221121,14,2655,14_2655,32.6,33.3,32.1,32.5
20221125,18,2655,18_2655,32.6,33.4,32.4,33.3
20221201,24,2655,24_2655,31.9,32.6,32.8,33.8
20221205,28,2655,28_2655,32,32.6,31.5,31.9
20221212,35,2655,35_2655,32.9,34.8,32.5,33.5
20221107,0,2653,0_2653,33.1,34.5,33.7,35
20221110,3,2653,3_2653,31.1,33.2,31,32.8
20221114,7,2653,7_2653,31.5,33.4,31.8,33.4
20221121,14,2653,14_2653,38.1,38.7,31.6,32.6
20221125,18,2653,18_2653,38.6,39.6,31.8,32.2
20221201,24,2653,24_2653,33.6,34.2,32.9,33.6
20221205,28,2653,28_2653,32.1,32.8,31.5,31.9
20221212,35,2653,35_2653,31.9,32.9,32.3,33.3
20221107,0,2648,0_2648,35,36.3,33.8,35.5
20221110,3,2648,3_2648,35.2,37,35.6,36.8
20221114,7,2648,7_2648,34.3,35.1,34.1,35.9
20221121,14,2648,14_2648,35.2,36.2,34.4,36.1
20221125,18,2648,18_2648,35.9,36.6,35.5,36.5
20221201,24,2648,24_2648,34.7,35.4,35.5,35.9
20221205,28,2648,28_2648,36.1,37,35.4,36.1
20221107,0,2632,0_2632,35.9,37.4,36.1,36.9
20221110,3,2632,3_2632,35.5,36.6,35.8,36.8
20221114,7,2632,7_2632,34.3,35.8,35.5,37
20221121,14,2632,14_2632,34.8,36.5,34.6,35.1
20221125,18,2632,18_2632,34.1,34.4,34.5,34.7
20221201,24,2632,24_2632,33.7,34.4,33.3,34
20221212,35,2632,35_2632,35.2,35.4,34.9,35.3
20221107,0,2623,0_2623,33.8,34.3,32.2,33.4
20221110,3,2623,3_2623,31.2,32.2,31,31.8
20221114,7,2623,7_2623,32.9,34.1,31.9,32.5
20221121,14,2623,14_2623,31.3,31.7,31.9,33.2
20221125,18,2623,18_2623,31.4,32.4,31.5,32.3
20221201,24,2623,24_2623,31.6,32.3,32,32.8
20221205,28,2623,28_2623,31.9,32.4,32.3,32.9
20221212,35,2623,35_2623,32.1,32.6,32.8,33.6
20221107,0,2603,0_2603,35.5,37.2,35.2,37.1
20221110,3,2603,3_2603,31.7,33.2,31.6,33.1
20221114,7,2603,7_2603,33,34,31.4,33.5
20221121,14,2603,14_2603,33.3,34.3,31.6,33.3
20221125,18,2603,18_2603,33.5,34.4,33.8,35.4
20221201,24,2603,24_2603,32.9,34,32.6,33.9
20221205,28,2603,28_2603,33.1,33.4,32.2,32.8
20221212,35,2603,35_2603,32.6,33.6,31.6,33.6
20221107,0,2581,0_2581,37.6,38.9,36.7,38.4
20221110,3,2581,3_2581,35.7,37.1,35.4,37.3
20221114,7,2581,7_2581,35.6,37.1,38.1,39.3
20221121,14,2581,14_2581,36.3,37.4,39.5,42.1
20221125,18,2581,18_2581,36.8,37.4,41.3,41.9
20221201,24,2581,24_2581,36.2,37.1,37,37.4
20221205,28,2581,28_2581,36.4,37.3,38,39.1
20221212,35,2581,35_2581,35.8,36.6,35.6,36.3
20221107,0,2573,0_2573,33.2,33.8,32.5,34.6
20221110,3,2573,3_2573,32.5,33.7,32.7,33.5
20221114,7,2573,7_2573,31.9,33.4,32.4,33.1
20221121,14,2573,14_2573,32.2,33.1,31.7,33
20221125,18,2573,18_2573,31.7,32.7,31.8,32.8
20221201,24,2573,24_2573,32.4,33.1,32,33.3
20221205,28,2573,28_2573,32.4,32.9,32,32.4
20221212,35,2573,35_2573,31.8,32.9,32.2,33.1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 ,,,,,,,
