"date","dpi","band_number","bird_ID","swab_id","mass","l_eye_score","r_eye_score","treatment","temp","stack","cage","scorer","swab","swabber","plasma","rbcs","smear","experiment_notes","start_time","cap_time","bleed_time","hematocrit","samplers","sampled_first","room","cap_date","Location","sex","cap_mass","trap_method","bci_intake","Intake...Quarantine.Notes","Well.1.WBC","Well.1.Phago","Well.2.Phago","Well.2.WBC","Well.3.Phago","Well.3.WBC","Well.4.WBC","Well.4.Phago","l_min","l_max","r_min","r_max","qpcr_plate","well","cq_value","quantity","log10_quantity","extraction_plate","extr_neg_cntrls","cq8","cq7","cq6","cq5","cq4","cq3","cq2","cq1","qpcr_neg_cntrls","y_inter","r2","error","elisa_od","elisa_cv","hapto_int","hapto_abs","hapto.oor","red","hapto_plate","hapto_cv","hapto_ext","inf_temp","temp_names","groups"
20221010,-28,2750,"-28_2750",NA,20.7,NA,NA,"Control","Cold","C",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220706,"BE","F",19.6,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0761,4.09,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2764,"-28_2764",NA,21.2,NA,NA,"Infected","Cold","F",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220711,"PH","M",21,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04705,9.17,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2775,"-28_2775",NA,19.4,NA,NA,"Infected","Cold","F",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220713,"BE","F",20.6,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05345,6.22,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2789,"-28_2789",NA,19.7,NA,NA,"Control","Cold","E",2,NA,NA,NA,NA,NA,NA,"need ab",NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220715,"CSH","M",20.7,"FT",3.5,"Intake 0,0; Was housed with SOSP until 7/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,3.6,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2799,"-28_2799",NA,20.3,NA,NA,"Control","Cold","B",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220721,"KH","M",20.4,"FT",3,"Intake 0,0; pox 8/5 - cagemate also has pox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,1.9,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2813,"-28_2813",NA,19.8,NA,NA,"Control","Cold","A",1,NA,NA,NA,NA,NA,NA,"very small/minor cage injury by eye",NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220722,"CSH","F",19.9,"FT",3,"Intake 0,0; L eye maybe puffy, not scoreable (8/1 and 8/5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,3.3,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2880,"-28_2880",NA,19.3,NA,NA,"Infected","Cold","A",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220801,"DD","F",19.2,"MN",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0443,3.83,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2892,"-28_2892",NA,22.6,NA,NA,"Infected","Cold","D",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220803,"PH","F",20.2,"FT",3.5,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04195,0.17,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2893,"-28_2893",NA,19.8,NA,NA,"Control","Cold","E",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220803,"PH","F",19,"FT",3.5,"Intake 0,0; both eyes a little red-rimmed, housed solo - same status on 8/8, 8/10, 8/12, 8/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04375,0.48,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2894,"-28_2894",NA,20.5,NA,NA,"Infected","Cold","D",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220804,"KH","F",22.6,"FT",3,"Intake 0,0; left eye maybe red (8/12)? intake right eye red? - no MG developed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04545,3.89,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2903,"-28_2903",NA,19.7,NA,NA,"Infected","Cold","F",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220805,"TRCII","M",20.4,"FT",3,"Intake 0,0; R leg pinched, perching and gripping normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04635,5.34,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2921,"-28_2921",NA,19.9,NA,NA,"Control","Cold","A",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220810,"DD","M",20.6,"MN",3.5,"Intake 0,0; pox bleeding, AB applied 8/26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0482,5.57,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2928,"-28_2928",NA,19.5,NA,NA,"Infected","Cold","E",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220810,"DD","M",20.1,"MN",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04335,0.16,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2939,"-28_2939",NA,19,NA,NA,"Control","Cold","B",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220812,"TRC","M",20.8,"FT",3.5,"Intake 0,0; isolated, cagemate of MG+ on 8/15; head and wing injuries - antibiotic applied 8/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0442,4.48,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2581,"-28_2581",NA,19.3,NA,NA,"Infected","Warm","D",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220602,"LH","M",19.3,"MN",3.5,"Intake 0,0; small injury on R halux, AB ointment; strange beak - developmental issue?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,8.7,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2632,"-28_2632",NA,17.4,NA,NA,"Control","Warm","F",1,NA,NA,NA,NA,NA,NA,"small - BC is fine",NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220617,"TRC","F",17.7,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04365,2.43,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2648,"-28_2648",NA,20.2,NA,NA,"Infected","Warm","C",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220620,"DD","F",18.6,"MN",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,3.1,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2690,"-28_2690",NA,22.9,NA,NA,"Infected","Warm","E",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220628,"KH","F",19.2,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,1.8,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2704,"-28_2704",NA,19.5,NA,NA,"Control","Warm","B",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220628,"KH","F",19.1,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454,2.18,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2718,"-28_2718",NA,22.7,NA,NA,"Control","Warm","A",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220701,"TRC","M",21.1,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04485,2.36,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2802,"-28_2802",NA,20.3,NA,NA,"Control","Warm","D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220722,"TRCII","F",20.7,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,1.7,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2842,"-28_2842",NA,21.8,NA,NA,"Control","Warm","C",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220726,"DD","M",21.2,"MN",3.5,"Intake 0,0; droopy eyes 8/12, 8/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,0.2,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2846,"-28_2846",NA,19.9,NA,NA,"Control","Warm","E",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220726,"DD","M",19.8,"MN",3,"Intake 0,0; Pox on right foot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0464,2.44,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2847,"-28_2847",NA,19.9,NA,NA,"Control","Warm","A",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220726,"DD","F",18.7,"MN",3.5,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04885,0.14,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2850,"-28_2850",NA,19.1,NA,NA,"Infected","Warm","D",4,NA,NA,NA,NA,NA,NA,"this bird had a pox note but didn't see any obvious pox",NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220727,"PH","M",19.6,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0425,0.33,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2869,"-28_2869",NA,20.5,NA,NA,"Infected","Warm","A",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220729,"DD","M",19.6,"MN",3,"Intake 0,0; pox L foot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,0.62,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2874,"-28_2874",NA,20.8,NA,NA,"Infected","Warm","D",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220801,"KH","F",19.4,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04495,8.34,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2879,"-28_2879",NA,21.9,NA,NA,"Infected","Warm","A",4,NA,NA,NA,NA,NA,NA,"pox",NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220801,"DD","F",21.6,"MN",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0439,0.97,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2883,"-28_2883",NA,21.7,NA,NA,"Infected","Warm","B",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220801,"DD","M",21.3,"MN",3,"Intake 0,0; L eye sus but not scoreable, a bit red-rimmed (8/12). Small sore on L halluX.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0501,4.8,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2889,"-28_2889",NA,21.3,NA,NA,"Infected","Warm","F",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220803,"PH","M",18.3,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0444,0.64,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2904,"-28_2904",NA,20.1,NA,NA,"Infected","Warm","F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220805,"TRCII","M",21.4,"FT",3,"Intake 0,0; trap injury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0487,8.13,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2906,"-28_2906",NA,19.5,NA,NA,"Control","Warm","E",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220805,"TRCII","F",21,"FT",3.5,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0484,2.34,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2907,"-28_2907",NA,20.2,NA,NA,"Infected","Warm","F",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220805,"TRCII","F",21.2,"FT",3.5,"Intake 0,0; trap injury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0425,1.33,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2911,"-28_2911",NA,20.2,NA,NA,"Control","Warm","E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220808,"OL","M",19.7,"FT",3,"Intake 0,0; pox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04715,7.05,NA,NA,NA,NA,NA,NA,NA,"Sham_TN","Warm","Warm Control"
20221010,-28,2914,"-28_2914",NA,20.9,NA,NA,"Infected","Warm","C",2,NA,NA,NA,NA,NA,NA,"no MG, pinkish eyes, needs ab",NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220808,"IVT","F",20,"FT",3,"Intake 0,0; pox?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0441,0.32,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2920,"-28_2920",NA,20.7,NA,NA,"Infected","Warm","B",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220810,"DD","F",20.8,"MN",3,"Intake 0,0; eyes slightly red but not swollen (8/19, 8/22, 8/29) - no MG developed, just reddish eyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04425,1.44,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
20221010,-28,2926,"-28_2926",NA,20.8,NA,NA,"Infected","Warm","C",3,NA,NA,NA,NA,NA,NA,"no MG, pinkish eyes",NA,NA,NA,NA,"APU, ML, MA",NA,"TN",20220810,"DD","M",21.3,"MN",3.5,"Intake 0,0; L eye swollen but not scoreable on 8/15; seperated from cagemate 8/24 - no MG developed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,5.81,NA,NA,NA,NA,NA,NA,NA,"MG_TN","Warm","Warm Infected"
