ELISA RUN,band_number,Avg OD,CV %,S/P,Rerun?,MG+/- (OD > 0.061),MG +/- SP,
8.16.22,2779,0.046,2.7,-0.0034, ,-,-,
8.16.22,2780,0.046,0.8,-0.0034, ,-,-,
8.16.22,2781,0.044,0.8,-0.0063, ,-,-,
8.16.22,2782,0.047,8.5,-0.0020, ,-,-,
8.16.22,2783,0.055,2.3,0.0077, ,-,-,
8.16.22,2784,0.045,4.5,-0.0049, ,-,-,
8.16.22,2785,0.047,3.0,-0.0025, ,-,-,
8.16.22,2786,0.060,3.3,0.0144, ,-,-,
8.16.22,2787,0.050,7.2,0.0019, ,-,-,
8.16.22,2789,0.051,3.6,0.0032, ,-,-,
8.16.22,2790,0.049,3.3,-0.0003, ,-,-,
9.9.22,2791,0.0419,0.33752114,-0.0089615, ,-,-,
8.16.22,2792,0.054,1.0,0.0065, ,-,-,
8.16.22,2793,0.049,0.4,0.0002, ,-,-,
8.16.22,2794,0.046,1.5,-0.0034, ,-,-,
8.16.22,2795,0.054,5.4,0.0064, ,-,-,
8.16.22,2798,0.048,2.5,-0.0016, ,-,-,
8.16.22,2799,0.053,1.9,0.0053, ,-,-,
9.5.22,2801,0.0462,4.28549564,-0.0125399, ,-,-,
8.16.22,2802,0.051,1.7,0.0030, ,-,-,
8.16.22,2803,0.047,2.720,-0.003, ,-,-,
8.16.22,2804,0.048,2.491,-0.001, ,-,-,
8.16.22,2805,0.048,2.784,-0.001, ,-,-,
8.16.22,2806,0.050,1.143,0.001, ,-,-,
8.16.22,2807,0.062,0.000,0.017, ,+,-,
8.16.22,2808,0.052,1.907,0.004, ,-,-,
8.16.22,2809,0.053,0.400,0.005, ,-,-,
8.16.22,2810,0.056,0.630,0.009, ,-,-,
8.17.22,2811,0.055,1.0,0.0072, ,-,-,
8.17.22,2812,0.049,2.7,-0.0010, ,-,-,
8.17.22,2813,0.050,3.3,-0.0001, ,-,-,
8.17.22,2814,0.054,8.4,0.0051, ,-,-,
8.17.22,2815,0.045,4.3,-0.0068, ,-,-,
8.17.22,2817,0.043,1.1,-0.0086, ,-,-,
8.17.22,2818,0.043,0.3,-0.0094, ,-,-,
8.17.22,2821,0.044,2.1,-0.0071, ,-,-,
8.17.22,2825,0.047,1.2,-0.0032, ,-,-,
8.17.22,2827,0.045,4.1,-0.0059, ,-,-,
8.17.22,2828,0.046,2.5,-0.0056, ,-,-,
8.17.22,2829,0.046,10.0,-0.0048, ,-,-,
8.17.22,2831,0.046,6.6,-0.0046, ,-,-,
8.17.22,2832,0.043,0.7,-0.0090, ,-,-,
8.17.22,2833,0.043,3.1,-0.0090, ,-,-,
8.17.22,2834,0.043,1.0,-0.0087, ,-,-,
8.17.22,2836,0.042,0.7,-0.0100, ,-,-,
8.17.22,2837,0.045,5.1,-0.0069, ,-,-,
8.17.22,2838,0.043,2.9,-0.0085, ,-,-,
8.17.22,2839,0.045,0.2,-0.0057, ,-,-,
8.17.22,2840,0.045,0.3,-0.0068, ,-,-,
8.17.22,2841,0.043,2.0,-0.0091, ,-,-,
8.17.22,2842,0.041,0.2,-0.0110, ,-,-,
8.17.22,2843,0.044,0.5,-0.0081, ,-,-,
8.17.22,2844,0.048,1.6,-0.0030, ,-,-,
9.5.22,2845,0.0477,9.48738658,-0.0107654, ,-,-,
9.5.22,2847,0.04885,0.14475062,-0.0094049, ,-,-,
8.17.22,2848,0.046,0.5,-0.0052, ,-,-,
9.5.22,2849,0.0442,0.95987346,-0.014906, ,-,-,
9.5.22,2850,0.0425,0.33275613,-0.0015306, ,-,-,
8.17.22,2855,0.050,5.9,0.0003, ,-,-,
8.17.22,2856,0.046,0.5,-0.0049, ,-,-,
8.17.22,2859,0.048,0.6,-0.0029, ,-,-,
9.5.22,2860,0.04775,0.44425557,0.00489786, ,-,-,
8.17.22,2861,0.044,1.6,-0.0074, ,-,-,
8.17.22,2862,0.044,4.7,-0.0077, ,-,-,
8.17.22,2863,0.046,0.310,-0.005, ,-,-,
8.17.22,2864,0.043,4.604,-0.009, ,-,-,
8.17.22,2866,0.043,1.656,-0.009, ,-,-,
8.17.22,2867,0.046,12.218,-0.005,y,-,-,
8.17.22,2868,0.046,2.323,-0.005, ,-,-,
8.17.22,2869,0.046,0.618,-0.005, ,-,-,
8.17.22,2870,0.100,72.629,0.064,y,+,+,
8.17.22,2871,0.043,1.492,-0.009, ,-,-,
9.5.22,2874,0.04495,8.33741032,0.00146936, ,-,-,
9.5.22,2877,0.04495,1.1011674,0.00146936, ,-,-,
9.9.22,2878,0.05375,17.4967817,0.00406839,y,-,-,
9.5.22,2879,0.0439,0.96643296,0.00018367, ,-,-,
9.9.22,2880,0.0443,3.83082681,-0.0063225, ,-,-,
9.5.22,2881,0.043,0.65777375,-0.0009183, ,-,-,
9.5.22,2882,0.04675,7.10888101,0.00367339, ,-,-,
9.5.22,2883,0.0501,4.79872865,0.00777535, ,-,-,
9.5.22,2886,0.0522,8.39858629,0.01034673, ,-,-,
9.9.22,2887,0.0456,4.03174919,-0.0048931,, ,-,
9.9.22,2889,0.0444,0.63703314,-0.0062125,, ,-,
9.9.22,2890,0.0466,6.98002402,-0.0037935,, ,-,
9.5.22,2892,0.04195,0.16855942,-0.002204, ,-,-,
9.5.22,2893,0.04375,0.48487322,0, ,-,-,
9.5.22,2894,0.04545,3.88947624,0.00208159, ,-,-,
9.5.22,2895,0.04425,1.118587,0.00061223, ,-,-,
9.5.22,2896,0.04325,1.47143608,-0.0006122, ,-,-,
9.5.22,2897,0.04615,4.44335789,0.00293872, ,-,-,
9.5.22,2898,0.06755,38.6265584,0.02914226,y,+,+,
9.5.22,2899,0.0439,0,0.00018367, ,-,-,
9.5.22,2900,0.04435,5.26144843,0.00073468, ,-,-,
9.9.22,2901,0.04505,1.09872308,-0.0054978, ,-,-,
9.5.22,2902,0.0444,1.91109941,0.0007959, ,-,-,
9.5.22,2903,0.04635,5.33953341,0.00318361, ,-,-,
9.5.22,2904,0.0487,8.131002,0.0060611, ,-,-,
9.5.22,2905,0.05245,2.56149263,0.01065284, ,-,-,
9.9.22,2906,0.0484,2.33754308,-0.0018143, ,-,-,
9.5.22,2907,0.0425,1.33102453,-0.0015306, ,-,-,
9.5.22,2908,0.04425,7.83010899,0.00061223, ,-,-,
9.5.22,2910,0.0496,5.98759774,0.00716312, ,-,-,
9.5.22,2911,0.04715,7.04857237,0.00416318, ,-,-,
9.5.22,2912,0.04745,5.51379366,0.00453052, ,-,-,
9.9.22,2914,0.0441,0.32068335,-0.0065424, ,-,-,
9.9.22,2915,0.04405,3.69204449,-0.0065974, ,-,-,
9.9.22,2916,0.04355,3.08496644,-0.0071472, ,-,-,
9.5.22,2918,0.0452,3.12879107,0.00177547, ,-,-,
9.5.22,2919,0.04365,0.48598404,-0.0001224, ,-,-,
9.5.22,2920,0.04425,1.43818328,0.00061223, ,-,-,
9.5.22,2921,0.0482,5.57470076,0.00544887, ,-,-,
9.5.22,2924,0.06165,3.55560587,0.02191792, ,+,-,
9.5.22,2926,0.056,5.80837713,0.01499969, ,-,-,
9.5.22,2927,0.0444,5.41478166,0.0007959, ,-,-,
9.9.22,2928,0.04335,0.16311575,-0.0073671, ,-,-,
9.9.22,2929,0.05595,8.72035173,0.00648744, ,-,-,
9.5.22,2931,0.05135,7.02287163,-0.0064474, ,-,-,
9.9.22,2933,0.0488,2.60818075,-0.0013745, ,-,-,
9.5.22,2934,0.0486,3.20089489,-0.0097007, ,-,-,
9.5.22,2935,0.0431,1.64061898,-0.0162073, ,-,-,
9.5.22,2939,0.0442,4.47940947,-0.014906, ,-,-,
9.9.22,2941,0.045,2.19988776,-0.0055528, ,-,-,
9.9.22,2942,0.04755,11.747936,-0.0027489,y,-,-,
9.9.22,2943,0.04295,0.16463487,-0.0078069, ,-,-,
9.5.22,2945,0.05365,4.08579874,-0.0037265, ,-,-,
9.9.22,2946,0.0494,15.1727366,-0.0007147,y,-,-,
,2846,0.0464,2.438299245,-0.001729807, ,-,-,
,2653,0.0486,0.290990445,0.000327261,,-,,
,,,,, ,,,
